cost_function, budget_percentage, budget, algorithm, original_seed_count, surviving_seed_count, removed_seed_count, seed_cost, baseline_influenced_nodes, node_removal_percentage, repetition, removed_nodes, remaining_nodes, perturbed_influenced_nodes, remaining_network_influence_percentage, delta_influence, retention_percentage, perturbed_rounds
Random       ,               2.0,    440, CGG      ,                 285,                  281,                  4,       440,                       882,                     1.0,          3,            40,            3999,                        851,                    21.280320080020005 , -31            ,   96.48526077097506 ,                9
Random       ,               5.0,   1100, CSG-f1   ,                 487,                  482,                  5,      1099,                      1354,                     1.0,          3,            40,            3999,                       1343,                    33.58339584896224  , -11            ,   99.18759231905466 ,               14
Random       ,               5.0,   1100, CSG-f2   ,                 533,                  527,                  6,      1099,                      1553,                     1.0,          3,            40,            3999,                       1536,                    38.40960240060015  , -17            ,   98.90534449452673 ,               27
Random       ,               5.0,   1100, CGG      ,                 619,                  610,                  9,      1099,                      2519,                     1.0,          3,            40,            3999,                       1670,                    41.76044011002751  , -849           ,   66.29614926558159 ,               20
Random       ,              10.0,   2201, CSG-f1   ,                 869,                  859,                 10,      2196,                      2883,                     1.0,          3,            40,            3999,                       3015,                    75.39384846211553  , 132            ,  104.57856399583767 ,               19
Random       ,              10.0,   2201, CSG-f2   ,                 979,                  969,                 10,      2201,                      3095,                     1.0,          3,            40,            3999,                       3062,                    76.56914228557139  , -33            ,   98.93376413570275 ,               18
Random       ,              10.0,   2201, CGG      ,                 926,                  917,                  9,      2011,                      4039,                     1.0,          3,            40,            3999,                       3399,                    84.99624906226556  , -640           ,   84.15449368655608 ,               43
Random       ,              20.0,   4402, CSG-f1   ,                1495,                 1481,                 14,      4399,                      4012,                     1.0,          3,            40,            3999,                       3972,                    99.32483120780195  , -40            ,   99.00299102691925 ,                6
Random       ,              20.0,   4402, CSG-f2   ,                1620,                 1605,                 15,      4399,                      3963,                     1.0,          3,            40,            3999,                       3916,                    97.92448112028008  , -47            ,   98.81402977542267 ,                5
Random       ,              20.0,   4402, CGG      ,                 926,                  917,                  9,      2011,                      4039,                     1.0,          3,            40,            3999,                       3399,                    84.99624906226556  , -640           ,   84.15449368655608 ,               43
Degree       ,               1.0,    892, CSG-f1   ,                 117,                  116,                  1,       888,                       158,                     1.0,          3,            40,            3999,                        159,                     3.975993998499625 , 1              ,  100.63291139240506 ,                6
Degree       ,               1.0,    892, CSG-f2   ,                 209,                  207,                  2,       888,                       211,                     1.0,          3,            40,            3999,                        209,                     5.226306576644161 , -2             ,   99.0521327014218  ,                1
Degree       ,               1.0,    892, CGG      ,                 442,                  441,                  1,       891,                       555,                     1.0,          3,            40,            3999,                        553,                    13.828457114278569 , -2             ,   99.63963963963964 ,               14
Degree       ,               2.0,   1784, CSG-f1   ,                 177,                  176,                  1,      1766,                       368,                     1.0,          3,            40,            3999,                        365,                     9.127281820455114 , -3             ,   99.18478260869566 ,                6
Degree       ,               2.0,   1784, CSG-f2   ,                 261,                  259,                  2,      1781,                       264,                     1.0,          3,            40,            3999,                        262,                     6.5516379094773685, -2             ,   99.24242424242425 ,                1
Degree       ,               2.0,   1784, CGG      ,                 668,                  667,                  1,      1783,                       899,                     1.0,          3,            40,            3999,                        894,                    22.355588897224308 , -5             ,   99.44382647385984 ,               14
Degree       ,               5.0,   4462, CSG-f1   ,                 287,                  283,                  4,      4462,                       480,                     1.0,          3,            40,            3999,                        474,                    11.852963240810203 , -6             ,   98.75             ,                6
Degree       ,               5.0,   4462, CSG-f2   ,                 408,                  405,                  3,      4426,                       412,                     1.0,          3,            40,            3999,                        409,                    10.227556889222306 , -3             ,   99.27184466019418 ,                2
Degree       ,               5.0,   4462, CGG      ,                1100,                 1095,                  5,      4456,                      1411,                     1.0,          3,            40,            3999,                       1402,                    35.0587646911728   , -9             ,   99.36215450035436 ,               14
Degree       ,              10.0,   8924, CSG-f1   ,                 448,                  444,                  4,      8910,                       650,                     1.0,          3,            40,            3999,                        645,                    16.129032258064516 , -5             ,   99.23076923076923 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,                 613,                  607,                  6,      8915,                       617,                     1.0,          3,            40,            3999,                        611,                    15.27881970492623  , -6             ,   99.02755267423015 ,                2
