cost_function, budget_percentage, budget, algorithm, seed_count, seed_cost, baseline_influenced_nodes, baseline_influence_percentage, edge_removal_percentage, repetition, removed_edges, perturbed_influenced_nodes, perturbed_influence_percentage, delta_influence, retention_percentage, perturbed_rounds
Random       ,              20.0,   4402, CSG-f1   ,       1495,      4399,                      4012,            99.33151770240158 ,                     1.0,          0,           882,                       4017,            99.45531072047537  , 5              ,  100.12462612163509 ,                5
Random       ,              20.0,   4402, CSG-f2   ,       1620,      4399,                      3963,            98.11834612527853 ,                     1.0,          0,           882,                       3963,            98.11834612527853  , 0              ,  100.0              ,                5
Random       ,              20.0,   4402, CGG      ,        926,      2011,                      4039,           100.0              ,                     1.0,          0,           882,                       3618,            89.57662787818768  , -421           ,   89.57662787818768 ,               40
Degree       ,               1.0,    892, CSG-f1   ,        117,       888,                       158,             3.911859371131468,                     1.0,          0,           882,                        164,             4.060410992820005 , 6              ,  103.79746835443038 ,                6
Degree       ,               1.0,    892, CSG-f2   ,        209,       888,                       211,             5.224065362713543,                     1.0,          0,           882,                        212,             5.248823966328299 , 1              ,  100.4739336492891  ,                1
Degree       ,               1.0,    892, CGG      ,        442,       891,                       555,            13.74102500618965 ,                     1.0,          0,           882,                        552,            13.666749195345382 , -3             ,   99.45945945945947 ,               14
Degree       ,               2.0,   1784, CSG-f1   ,        177,      1766,                       368,             9.111166130230256,                     1.0,          0,           882,                        369,             9.13592473384501  , 1              ,  100.2717391304348  ,                6
Degree       ,               2.0,   1784, CSG-f2   ,        261,      1781,                       264,             6.536271354295618,                     1.0,          0,           882,                        265,             6.561029957910374 , 1              ,  100.37878787878789 ,                1
Degree       ,               2.0,   1784, CGG      ,        668,      1783,                       899,            22.25798464966576 ,                     1.0,          0,           882,                        898,            22.233226046051    , -1             ,   99.88876529477196 ,               14
Degree       ,               5.0,   4462, CSG-f1   ,        287,      4462,                       480,            11.884129735082942,                     1.0,          0,           882,                        481,            11.908888338697697 , 1              ,  100.20833333333334 ,                6
Degree       ,               5.0,   4462, CSG-f2   ,        408,      4426,                       412,            10.200544689279525,                     1.0,          0,           882,                        411,            10.175786085664768 , -1             ,   99.75728155339806 ,                1
Degree       ,               5.0,   4462, CGG      ,       1100,      4456,                      1411,            34.9343897004209  ,                     1.0,          0,           882,                       1411,            34.9343897004209   , 0              ,  100.0              ,               14
Degree       ,              10.0,   8924, CSG-f1   ,        448,      8910,                       650,            16.093092349591483,                     1.0,          0,           882,                        651,            16.11785095320624  , 1              ,  100.15384615384615 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,        613,      8915,                       617,            15.276058430304532,                     1.0,          0,           882,                        616,            15.251299826689774 , -1             ,   99.83792544570503 ,                1
Degree       ,              10.0,   8924, CGG      ,       1539,      8919,                      2405,            59.544441693488494,                     1.0,          0,           882,                       2297,            56.87051250309483  , -108           ,   95.50935550935552 ,               30
Degree       ,              20.0,  17848, CSG-f1   ,        849,     17836,                      1853,            45.877692498143105,                     1.0,          0,           882,                       1854,            45.90245110175786  , 1              ,  100.05396654074474 ,                7
Degree       ,              20.0,  17848, CSG-f2   ,       1075,     17802,                      1081,            26.764050507551374,                     1.0,          0,           882,                       1081,            26.764050507551374 , 0              ,  100.0              ,                1
